Team,SCL,BoBarb,SCNL,BoBarb,HCL,BoBarb,HCNL,BoBarb,HCCL,BoBarb,HCCNL,BoBarb,SCCL,BoBarb,SCCNL,BoBarb,RoTW-SCL,BoBarb,RoTW-SCNL,BoBarb,RoTW-HCL,BoBarb,RoTW-HCNL,BoBarb,RoTW-HCCL,BoBarb,RoTW-HCCNL,BoBarb
1,,,yes,yes,,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,yes,,,,,,
2,,,,,,,yes,,,,,,,,,,yes,yes,yes,yes,yes,yes,,,,,,
3,,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,,,,,,,
4,,,,,,,,,,,,,,,,,yes,yes,,,yes,,,,,,,
5,,,,,yes,,,,,,,,,,,,yes,,yes,,yes,yes,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
